top_casual_formal,top_minimal_colorful,top_fitted_oversized,top_feminine_masculine,top_simple_ornate,bottom_casual_formal,bottom_minimal_colorful,bottom_fitted_oversized,bottom_feminine_masculine,bottom_simple_ornate,outfit_casual_formal,outfit_minimal_colorful,outfit_fitted_oversized,outfit_feminine_masculine,outfit_simple_ornate,outfit_match,temperature,rain,cloud
0.3333,0.6,0.4,0.5333,0.0,0.4667,0.4667,0.5333,0.4667,0.4667,0.1333,0.0,0.5333,0.6667,0.0,0.5333,0.3462,0.7,0.87
0.8667,0.2667,0.2,0.5333,0.0,0.4,0.2667,0.5333,0.0,0.2,0.2,0.1333,0.3333,0.0667,0.0667,0.2,1.0,0.13,0.32
0.0667,0.0,0.8667,0.5333,0.0,0.4,0.0667,0.4667,0.4667,0.0,0.0667,0.0,0.7333,0.5333,0.0,0.6,0.6923,0.02,0.29
0.0,0.1333,0.4667,0.5333,0.0667,0.2667,0.0,0.6,0.4667,0.0,0.1333,0.0,0.2667,0.4667,0.0,0.1333,0.2308,0.27,0.56
0.0667,0.2667,0.6,0.6,0.0667,0.4,0.2667,0.5333,0.0,0.0,0.2667,0.3333,0.4,0.0667,0.1333,0.3333,0.1923,0.0,0.44
0.7333,0.2,0.2,0.5333,0.0,0.4,0.0667,0.2,0.4667,0.0,0.5333,0.1333,0.3333,0.4667,0.0667,0.4667,0.5385,0.27,0.32
0.6,0.2,0.2,0.4667,0.0667,0.8,0.1333,0.4667,0.6,0.0667,0.8,0.0667,0.3333,0.5333,0.0667,0.9333,0.2692,0.08,0.55
0.0667,0.0,0.5333,0.5333,0.0667,0.4667,0.4667,0.5333,0.4667,0.4667,0.0,0.0667,0.6,0.5333,0.0,0.6,0.3846,0.89,0.94
0.2,0.3333,0.7333,0.5333,0.1333,0.4,0.0667,0.1333,0.4667,0.0,0.1333,0.3333,0.2,0.4667,0.0667,0.2,0.1538,0.11,0.56
0.8,0.0,0.2,0.5333,0.2667,0.6667,0.0,0.5333,0.0,0.0,0.8667,0.0,0.4,0.1333,0.2,0.7333,0.3462,0.7,0.75
